latitude,elevation,name,url,photo,hasMap,longitude
47° 13′ 24″ N,2750,Leiterspitze,https://de.wikipedia.org/wiki/Leiterspitze,https://de.wikipedia.org/wiki/Datei:Leiterspitzen_und_Alblitjoch.png,https://tools.wmflabs.org/geohack/geohack.php?pagename=Leiterspitze&language=de&params=47.223333333333_N_10.521666666667_E_dim:5000_region:AT-7_type:mountain(2750)&title=Leiterspitze,10° 31′ 18″ O
47° 26′ 19″ N,2274,Leilachspitze,https://de.wikipedia.org/wiki/Leilachspitze,https://de.wikipedia.org/wiki/Datei:Leilachspitze.JPG,https://tools.wmflabs.org/geohack/geohack.php?pagename=Leilachspitze&language=de&params=47.438611111111_N_10.546111111111_E_dim:5000_region:AT-7_type:mountain(2274),10° 32′ 46″ O
47° 0′ 13″ N,3361,Wilde Leck,https://de.wikipedia.org/wiki/Wilde_Leck,https://de.wikipedia.org/wiki/Datei:Wilde_Leck_NE.JPG,https://tools.wmflabs.org/geohack/geohack.php?pagename=Wilde_Leck&language=de&params=47.003611111111_N_11.063611111111_E_dim:5000_region:AT-7_type:mountain(3361),11° 3′ 49″ O
47° 30′ 46″ N,1958,Läuferspitze,https://de.wikipedia.org/wiki/L%C3%A4uferspitze,https://de.wikipedia.org/wiki/Datei:L%C3%A4uferspitze_from_Northwest.JPG,https://tools.wmflabs.org/geohack/geohack.php?pagename=L%C3%A4uferspitze&language=de&params=47.512777777778_N_10.5975_E_dim:5000_region:AT-7_type:mountain(1958),10° 35′ 51″ O
46° 58′ 0″ N,3098,Lasörling,https://de.wikipedia.org/wiki/Las%C3%B6rling,https://de.wikipedia.org/wiki/Datei:Lasoerling.JPG,https://tools.wmflabs.org/geohack/geohack.php?pagename=Las%C3%B6rling&language=de&params=46.966666666667_N_12.35_E_dim:5000_region:AT-7_type:mountain(3098),12° 21′ 0″ O
46° 46′ 22″ N,2614,Laserzwand,https://de.wikipedia.org/wiki/Laserzwand,https://de.wikipedia.org/wiki/Datei:Laserzwand_-_Von_der_Forststrasse_zur_Kalsbader_H%C3%BCtte.jpg,https://tools.wmflabs.org/geohack/geohack.php?pagename=Laserzwand&language=de&params=46.77266_N_12.801238_E_dim:5000_region:AT-7_type:mountain(2614)&title=Laserzwand,12° 48′ 4″ O
47° 14′ 29″ N,2214,Largoz,https://de.wikipedia.org/wiki/Largoz,https://de.wikipedia.org/wiki/Datei:Largoz.jpg,https://tools.wmflabs.org/geohack/geohack.php?pagename=Largoz&language=de&params=47.241414_N_11.592521_E_dim:5000_region:AT-7_type:mountain(2214)&title=Largoz,11° 35′ 33″ O
47° 22′ 41″ N,1375,Larchkopf (Tuxer Alpen),https://de.wikipedia.org/wiki/Larchkopf_(Tuxer_Alpen),https://de.wikipedia.org/wiki/Datei:Larchkopf_mit_Schlitters.JPG,https://tools.wmflabs.org/geohack/geohack.php?pagename=Larchkopf_(Tuxer_Alpen)&language=de&params=47.378055555556_N_11.816111111111_E_dim:5000_region:AT-7_type:mountain(1375)&title=Larchkopf,11° 48′ 58″ O
47° 26′ 34″ N,1654,Lärchfilzkogel,https://de.wikipedia.org/wiki/L%C3%A4rchfilzkogel,https://de.wikipedia.org/wiki/Datei:Austria_Tyrol_relief_location_map.svg,https://tools.wmflabs.org/geohack/geohack.php?pagename=L%C3%A4rchfilzkogel&language=de&params=47.442777777778_N_12.548888888889_E_dim:5000_region:AT-7_type:mountain(1654),12° 32′ 56″ O
47° 24′ 38″ N,2541,Larchetkarspitze,https://de.wikipedia.org/wiki/Larchetkarspitze,https://de.wikipedia.org/wiki/Datei:Larchetkarspitze_SW.JPG,https://tools.wmflabs.org/geohack/geohack.php?pagename=Larchetkarspitze&language=de&params=47.410555555556_N_11.354166666667_E_dim:5000_region:AT-7_type:mountain(2541)&title=Larchetkarspitze,11° 21′ 15″ O
47° 34′ 9″ N,2123,Lärchegg,https://de.wikipedia.org/wiki/L%C3%A4rchegg,https://de.wikipedia.org/wiki/Datei:Laercheck_von_Norden-1.jpg,https://tools.wmflabs.org/geohack/geohack.php?pagename=L%C3%A4rchegg&language=de&params=47.569166666667_N_12.351388888889_E_dim:5000_region:AT-7_type:mountain(2123)&title=L%C3%A4rchegg,12° 21′ 5″ O
47° 10′ 21″ N,2620,Marchreisenspitze,https://de.wikipedia.org/wiki/Marchreisenspitze,https://de.wikipedia.org/wiki/Datei:Axamer_Lizum_-_Ampferstein_-_Marchreisenspitze.JPG,https://tools.wmflabs.org/geohack/geohack.php?pagename=Marchreisenspitze&language=de&params=47.1725_N_11.308333333333_E_dim:5000_region:AT-7_type:mountain(2620),11° 18′ 30″ O
46° 52′ 31″ N,3023,Wildes Mannle,https://de.wikipedia.org/wiki/Wildes_Mannle,https://de.wikipedia.org/wiki/Datei:2008_%C3%96tztal_015_Wildes_Mannle_3023_a.jpg,https://tools.wmflabs.org/geohack/geohack.php?pagename=Wildes_Mannle&language=de&params=46.875277777778_N_10.893888888889_E_dim:5000_region:AT-7_type:mountain(3023),10° 53′ 38″ O
47° 14′ 42″ N,930,Paschberg,https://de.wikipedia.org/wiki/Lanser_Kopf,https://de.wikipedia.org/wiki/Datei:Paschberg_NW.JPG,https://tools.wmflabs.org/geohack/geohack.php?pagename=Paschberg&language=de&params=47.245_N_11.418055555556_E_dim:5000_region:AT-7_type:mountain(930)&title=Paschberg+%28Lanser+Kopf%29,11° 25′ 5″ O
46° 48′ 17″ N,3528,Langtauferer Spitze,https://de.wikipedia.org/wiki/Langtauferer_Spitze,https://de.wikipedia.org/wiki/Datei:LangtaufererSpitzeFromS.jpg,https://tools.wmflabs.org/geohack/geohack.php?pagename=Langtauferer_Spitze&language=de&params=46.804722222222_N_10.745833333333_E_dim:5000_region:AT-7_type:mountain(3528),10° 44′ 45″ O
47° 4′ 12″ N,3218,Längentaler Weißer Kogel,https://de.wikipedia.org/wiki/L%C3%A4ngentaler_Wei%C3%9Fer_Kogel,https://de.wikipedia.org/wiki/Datei:LaengentalerWeisserKogel.jpg,https://tools.wmflabs.org/geohack/geohack.php?pagename=L%C3%A4ngentaler_Wei%C3%9Fer_Kogel&language=de&params=47.070063_N_11.086063_E_dim:5000_region:AT-7_type:mountain(3218),11° 5′ 10″ O
47° 2′ 58″ N,3368,Malhamspitzen,https://de.wikipedia.org/wiki/Malhamspitzen,https://de.wikipedia.org/wiki/Datei:Malham_Quirl.jpg,https://de.wikipedia.org/w/index.php?title=Spezial:Logbuch&type=review&page=Malhamspitzen,12° 15′ 33″ O
46° 54′ 26″ N,3101,Ohrenspitzen,https://de.wikipedia.org/wiki/Ohrenspitzen,https://de.wikipedia.org/wiki/Datei:Ohrenspitzen_-_Panorama_von_der_Rosshornscharte.jpg,https://tools.wmflabs.org/geohack/geohack.php?pagename=Ohrenspitzen&language=de&params=46.90725_N_12.17725_E_dim:5000_region:AT-7_type:mountain(3101)&title=Gro%C3%9Fe+Ohrenspitze,12° 10′ 38″ O
47° 1′ 24″ N,3251,Ogasilspitze,https://de.wikipedia.org/wiki/Ogasilspitze,https://de.wikipedia.org/wiki/Datei:Ogasilspitze_und_Daberspitze_l_von_der_Bonn-Matreier-H%C3%BCtte.JPG,https://tools.wmflabs.org/geohack/geohack.php?pagename=Ogasilspitze&language=de&params=47.023225_N_12.276572_E_dim:5000_region:AT-7_type:mountain(3251)&title=Ogasilspitze,12° 16′ 36″ O
47° 23′ 12″ N,2278,Rauer Knöll,https://de.wikipedia.org/wiki/Rauer_Kn%C3%B6ll,https://de.wikipedia.org/wiki/Datei:Rauer_Knoell.jpg,https://tools.wmflabs.org/geohack/geohack.php?pagename=Rauer_Kn%C3%B6ll&language=de&params=47.386666666667_N_11.623055555556_E_dim:5000_region:AT-7_type:mountain(2278),11° 37′ 23″ O
47° 12′ 16″ N,2762,Rastkogel,https://de.wikipedia.org/wiki/Rastkogel,https://de.wikipedia.org/wiki/Datei:Rastkogel_HQ.jpg,https://tools.wmflabs.org/geohack/geohack.php?pagename=Rastkogel&language=de&params=47.204444444444_N_11.751111111111_E_dim:5000_region:AT-7_type:mountain(2762),11° 45′ 4″ O
47° 24′ 8″ N,2223,Rappenspitze (Karwendel),https://de.wikipedia.org/wiki/Rappenspitze_(Karwendel),https://de.wikipedia.org/wiki/Datei:Rappenspitze2.jpg,https://tools.wmflabs.org/geohack/geohack.php?pagename=Rappenspitze_(Karwendel)&language=de&params=47.402222222222_N_11.645833333333_E_dim:5000_region:AT-7_type:mountain(2223)&title=Rappenspitze,11° 38′ 45″ O
47° 24′ 52″ N,1991,Bärenkopf (Karwendel),https://de.wikipedia.org/wiki/B%C3%A4renkopf_(Karwendel),https://de.wikipedia.org/wiki/Datei:Baerenkopf_Karwendel.jpg,https://tools.wmflabs.org/geohack/geohack.php?pagename=B%C3%A4renkopf_(Karwendel)&language=de&params=47.41453_N_11.71227_E_dim:5000_region:AT-7_type:mountain(1991),11° 42′ 44″ O
46° 46′ 1″ N,3311,Bankkogel,https://de.wikipedia.org/wiki/Bankkogel,https://de.wikipedia.org/wiki/Datei:Austria_Tyrol_relief_location_map.svg,https://tools.wmflabs.org/geohack/geohack.php?pagename=Bankkogel&language=de&params=46.766944444444_N_10.993055555556_E_dim:5000_region:AT-7/IT-BZ_type:mountain(3311)&title=Bankkogel,10° 59′ 35″ O
47° 19′ 24″ N,2499,Balschtespitze,https://de.wikipedia.org/wiki/Balschtespitze,https://de.wikipedia.org/wiki/Datei:Balschtespitze.JPG,https://tools.wmflabs.org/geohack/geohack.php?pagename=Balschtespitze&language=de&params=47.323333333333_N_10.417777777778_E_dim:5000_region:AT-7_type:mountain(2499),10° 25′ 4″ O
47° 31′ 20″ N,1866,Einstein (Berg),https://de.wikipedia.org/wiki/Einstein_(Berg),https://de.wikipedia.org/wiki/Datei:Einstein_(Mountain)_Winter.JPG,https://tools.wmflabs.org/geohack/geohack.php?pagename=Einstein_(Berg)&language=de&params=47.522222222222_N_10.513333333333_E_dim:5000_region:AT-7_type:mountain(1866)&title=Einstein,10° 30′ 48″ O
47° 3′ 13″ N,3371,Hoher Eichham,https://de.wikipedia.org/wiki/Hoher_Eichham,https://de.wikipedia.org/wiki/Datei:Hoher_Eichham.jpg,https://tools.wmflabs.org/geohack/geohack.php?pagename=Hoher_Eichham&language=de&params=47.053611111111_N_12.406388888889_E_dim:5000_region:AT-7_type:mountain(3371),12° 24′ 23″ O
47° 25′ 6″ N,2452,Gamsjoch,https://de.wikipedia.org/wiki/Gamsjoch,https://de.wikipedia.org/wiki/Datei:20101010-Gamsjoch_von_der_Lamsenspitze.JPG,https://tools.wmflabs.org/geohack/geohack.php?pagename=Gamsjoch&language=de&params=47.418333333333_N_11.548333333333_E_dim:5000_region:AT-7_type:mountain(2452),11° 32′ 54″ O
47° 21′ 52″ N,2178,Gamshag,https://de.wikipedia.org/wiki/Gamshag,https://de.wikipedia.org/wiki/Datei:Gamshag.jpg,https://tools.wmflabs.org/geohack/geohack.php?pagename=Gamshag&language=de&params=47.364444444444_N_12.4675_E_dim:5000_region:AT-7_type:mountain(2178),12° 28′ 3″ O
46° 51′ 34″ N,3399,Gampleskogel,https://de.wikipedia.org/wiki/Gampleskogel,https://de.wikipedia.org/wiki/Datei:Venter_Tal_04.jpg,https://tools.wmflabs.org/geohack/geohack.php?pagename=Gampleskogel&language=de&params=46.859444444444_N_10.989722222222_E_dim:5000_region:AT-7_type:mountain(3399)&title=Gampleskogel,10° 59′ 23″ O
47° 1′ 29″ N,3126,Gamezkogel,https://de.wikipedia.org/wiki/Gamezkogel,https://de.wikipedia.org/wiki/Datei:Gamezkogel.jpg,https://tools.wmflabs.org/geohack/geohack.php?pagename=Gamezkogel&language=de&params=47.024722222222_N_10.828333333333_E_dim:5000_region:AT-7_type:mountain(3126),10° 49′ 42″ O
47° 8′ 6″ N,2185,Galzig,https://de.wikipedia.org/wiki/Galzig,https://de.wikipedia.org/wiki/Datei:Galzig.jpg,https://tools.wmflabs.org/geohack/geohack.php?pagename=Galzig&language=de&params=47.135_N_10.223888888889_E_dim:5000_region:AT-7_type:mountain(2185),10° 13′ 26″ O
47° 23′ 40″ N,2109,Galtjoch,https://de.wikipedia.org/wiki/Galtjoch,https://de.wikipedia.org/wiki/Datei:Galtjoch_S%C3%BCdseite.jpg,https://tools.wmflabs.org/geohack/geohack.php?pagename=Galtjoch&language=de&params=47.394444444444_N_10.675833333333_E_dim:5000_region:AT-7_type:mountain(2109),10° 40′ 33″ O
46° 50′ 18″ N,3318,Granatenkogel,https://de.wikipedia.org/wiki/Granatenkogel,https://de.wikipedia.org/wiki/Datei:Timmelsjoch_3.jpg,https://tools.wmflabs.org/geohack/geohack.php?pagename=Granatenkogel&language=de&params=46.838383_N_11.070657_E_dim:5000_region:AT-7/IT-BZ_type:mountain(3318),11° 4′ 14″ O
47° 2′ 55″ N,3063,Gradötz,https://de.wikipedia.org/wiki/Grad%C3%B6tz,https://de.wikipedia.org/wiki/Datei:Grad%C3%B6tz_von_Westen.JPG,https://tools.wmflabs.org/geohack/geohack.php?pagename=Grad%C3%B6tz&language=de&params=47.048611111111_N_12.593333333333_E_dim:5000_region:AT-7_type:mountain(3063),12° 35′ 36″ O
46° 55′ 44″ N,3052,Grabkogel,https://de.wikipedia.org/wiki/Grabkogel,https://de.wikipedia.org/wiki/Datei:MittagskogelPitztalVonN.jpg,https://tools.wmflabs.org/geohack/geohack.php?pagename=Grabkogel&language=de&params=46.928888888889_N_10.889444444444_E_dim:5000_region:AT-7_type:mountain(3052)&title=Grabkogel,10° 53′ 22″ O
47° 26′ 22″ N,2471,Grabenkarspitze,https://de.wikipedia.org/wiki/Grabenkarspitze,https://de.wikipedia.org/wiki/Datei:Vogelkarspitze_bis_Grabenkarspitze_HQ.jpg,https://tools.wmflabs.org/geohack/geohack.php?pagename=Grabenkarspitze&language=de&params=47.439444444444_N_11.431388888889_E_dim:5000_region:AT-7_type:mountain(2471),11° 25′ 53″ O
46° 58′ 4″ N,3096,Gößnitzkopf,https://de.wikipedia.org/wiki/G%C3%B6%C3%9Fnitzkopf,https://de.wikipedia.org/wiki/Datei:Austria_Carinthia_relief_location_map.svg,https://tools.wmflabs.org/geohack/geohack.php?pagename=G%C3%B6%C3%9Fnitzkopf&language=de&params=46.96781_N_12.74432_E_dim:5000_region:AT-2_type:mountain(3096)&title=G%C3%B6%C3%9Fnitzkopf,12° 44′ 40″ O
46° 58′ 45″ N,2912,Gösleswand,https://de.wikipedia.org/wiki/G%C3%B6sleswand,https://de.wikipedia.org/wiki/Datei:G%C3%B6sleswand_hinter_dem_B%C3%B6densee.JPG,https://tools.wmflabs.org/geohack/geohack.php?pagename=G%C3%B6sleswand&language=de&params=46.979166666667_N_12.295277777778_E_dim:5000_region:AT-7_type:mountain(2912),12° 17′ 43″ O
46° 59′ 18″ N,2793,Goldkappl,https://de.wikipedia.org/wiki/Goldkappl,https://de.wikipedia.org/wiki/Datei:Goldkappl_S.JPG,https://tools.wmflabs.org/geohack/geohack.php?pagename=Goldkappl&language=de&params=46.988333333333_N_11.329722222222_E_dim:5000_region:AT-7/IT-BZ_type:mountain(2793),11° 19′ 47″ O
47° 12′ 57″ N,1064,Goldbichl,https://de.wikipedia.org/wiki/Goldbichl,https://de.wikipedia.org/wiki/Datei:Goldbichl_von_S%C3%BCdwesten.JPG,https://tools.wmflabs.org/geohack/geohack.php?pagename=Goldbichl&language=de&params=47.215833333333_N_11.419166666667_E_dim:5000_region:AT-7_type:mountain(1064),11° 25′ 9″ O
46° 59′ 0″ N,3097,Tribulaun,https://de.wikipedia.org/wiki/Gschnitzer_Tribulaun,https://de.wikipedia.org/wiki/Datei:Tribulaune.jpg,https://tools.wmflabs.org/geohack/geohack.php?pagename=Tribulaun&language=de&params=46.983333333333_N_11.333333333333_E_dim:5000_region:AT-7/IT-BZ_type:mountain(3097)&title=Pflerscher+Tribulaun,11° 20′ 0″ O
47° 9′ 27″ N,2395,Grüblspitze,https://de.wikipedia.org/wiki/Gr%C3%BCblspitze,https://de.wikipedia.org/wiki/Datei:Austria_Tyrol_relief_location_map.svg,https://tools.wmflabs.org/geohack/geohack.php?pagename=Gr%C3%BCblspitze&language=de&params=47.1575_N_11.693055555556_E_dim:5000_region:AT-7_type:mountain(2395),11° 41′ 35″ O
47° 22′ 58″ N,2233,Grubigstein,https://de.wikipedia.org/wiki/Grubigstein,https://de.wikipedia.org/wiki/Datei:Zugspitze-Blick_auf_Ehrwald.jpg,https://tools.wmflabs.org/geohack/geohack.php?pagename=Grubigstein&language=de&params=47.382813_N_10.840669_E_dim:5000_region:AT-7_type:mountain(2233),10° 50′ 26″ O
47° 7′ 4″ N,3175,Grubenwand,https://de.wikipedia.org/wiki/Grubenwand,https://de.wikipedia.org/wiki/Datei:Grubenwand_NE.JPG,https://tools.wmflabs.org/geohack/geohack.php?pagename=Grubenwand&language=de&params=47.117777777778_N_11.117777777778_E_dim:5000_region:AT-7_type:mountain(3175)&title=Hintere+Grubenwand,11° 7′ 4″ O
46° 56′ 36″ N,3000,Grubenkarspitze (Ötztaler Alpen),https://de.wikipedia.org/wiki/Grubenkarspitze_(%C3%96tztaler_Alpen),https://de.wikipedia.org/wiki/Datei:Grubenkarsp1.jpg,https://tools.wmflabs.org/geohack/geohack.php?pagename=Grubenkarspitze_(%C3%96tztaler_Alpen)&language=de&params=46.943333333333_N_10.818611111111_E_dim:5000_region:AT-7_type:mountain(3000)&title=Grubenkarspitze,10° 49′ 7″ O
